transaction_id,card_id,timestamp,amount,merchant,transaction_type,location,is_fraud
1,6504876475938248,2025-01-28 03:15:45,4222.26,AliExpress,online,Sumqayit,0
2,2720489241157817,2025-03-10 16:47:13,4827.36,AliExpress,pos,Sumqayit,0
3,6593877840801600,2025-04-29 19:38:49,4839.03,Uber,atm,Ganja,0
4,30535139332877,2025-01-18 17:05:49,2523.93,Uber,online,Baku,0
5,2278714841858399,2025-04-17 06:16:37,3092.23,Uber,atm,Shirvan,0
6,3571965934232098,2025-05-08 12:15:16,4510.93,Uber,online,Baku,1
7,4112201868483396947,2025-03-29 11:46:34,4494.29,Walmart,pos,Sheki,0
8,30515917953300,2025-05-23 00:59:12,2799.51,Uber,pos,Sumqayit,0
9,4352560123098910139,2025-04-28 17:44:30,3054.82,McDonalds,atm,Sheki,0
10,3561510903217308,2025-05-12 21:59:14,2214.02,Starbucks,pos,Baku,0
11,676169141311,2025-05-06 14:53:32,4025.33,Starbucks,online,Baku,1
12,4620870916345792308,2025-06-03 03:22:02,3598.8,AliExpress,atm,Baku,0
13,4258419720769846,2025-05-07 00:14:57,3059.87,Uber,online,Sumqayit,0
14,374280715084238,2025-05-28 23:57:14,3518.51,Amazon,online,Shirvan,1
15,30594599246614,2025-01-01 07:06:12,1109.3,McDonalds,atm,Sheki,0
16,3552337696069600,2025-02-02 04:06:04,456.99,Uber,atm,Sheki,0
17,30142787890072,2025-03-05 07:00:31,546.18,Starbucks,pos,Baku,0
18,4063812066503008917,2025-02-06 23:36:27,2737.66,Starbucks,online,Shirvan,0
19,2720344217610473,2025-06-05 07:27:09,2736.6,Uber,pos,Baku,0
20,2252851240003480,2025-03-03 02:40:11,2981.84,AliExpress,pos,Shirvan,0
21,349776582369406,2025-01-27 21:15:22,1211.29,McDonalds,online,Ganja,0
22,4555159004229451,2025-03-18 15:51:50,165.83,Walmart,pos,Sheki,0
23,213141730428146,2025-03-20 06:54:15,346.36,Walmart,online,Ganja,0
24,376118775517176,2025-03-24 19:47:55,4616.98,Amazon,atm,Shirvan,1
25,575229611133,2025-05-26 14:38:43,3417.81,Walmart,atm,Sumqayit,0
26,4601688477935,2025-03-24 03:30:01,2609.43,McDonalds,online,Shirvan,0
27,2283492635110870,2025-05-27 02:37:01,4126.49,AliExpress,atm,Sumqayit,0
28,4176430392137658,2025-04-17 02:22:04,2253.36,Walmart,atm,Sumqayit,0
29,4972966875773895,2025-02-12 11:33:23,412.78,Starbucks,online,Sheki,0
30,585508249265,2025-04-24 04:44:07,2935.79,Uber,online,Ganja,0
31,4118013204075227586,2025-03-16 05:19:58,82.03,Uber,online,Ganja,0
32,213191891634891,2025-03-23 03:16:42,1860.93,McDonalds,pos,Sheki,0
33,36993002489452,2025-01-13 17:48:55,4079.75,Amazon,online,Ganja,0
34,30446660223453,2025-01-11 18:46:29,227.13,Starbucks,atm,Shirvan,0
35,675962791256,2025-03-21 20:03:07,3011.25,Amazon,online,Baku,0
36,676276701726,2025-01-04 22:16:10,3175.36,Starbucks,atm,Baku,0
37,676292518534,2025-03-16 10:50:20,1956.66,Uber,online,Baku,0
38,30109795194268,2025-06-05 05:12:00,3027.92,McDonalds,online,Baku,1
39,4830675375100740899,2025-04-22 00:45:58,2396.69,Walmart,online,Baku,0
40,4188684126963,2025-01-17 07:37:03,2721.63,Starbucks,online,Sumqayit,0
41,2311620766075415,2025-03-10 10:46:59,350.95,Amazon,atm,Sumqayit,0
42,5450552035192305,2025-02-09 18:23:39,1752.12,McDonalds,online,Shirvan,0
43,4045093227175423,2025-01-06 10:11:32,2336.19,Starbucks,online,Sheki,0
44,4574485291181,2025-04-23 18:57:15,997.58,Uber,atm,Sheki,0
45,4622358332456029067,2025-01-16 03:08:19,4191.79,Starbucks,online,Ganja,1
46,3526486296451370,2025-05-03 20:57:49,4832.78,Amazon,atm,Ganja,0
47,346606573547129,2025-06-04 16:02:18,4227.28,Uber,atm,Sumqayit,0
48,2251892762662379,2025-03-08 02:19:21,586.95,AliExpress,atm,Ganja,0
49,213157173407975,2025-01-02 12:14:30,67.01,Walmart,pos,Shirvan,0
50,4148926717383,2025-05-28 23:09:14,4374.15,Uber,atm,Sumqayit,0
51,6501400468967149,2025-03-10 16:55:48,1943.82,Walmart,pos,Ganja,0
52,4910144851832164486,2025-01-27 02:26:42,2803.44,Amazon,pos,Baku,0
53,3581686447592210,2025-05-16 08:24:15,1680.25,Amazon,atm,Sumqayit,1
54,2296972845763779,2025-05-15 21:30:58,675.05,AliExpress,pos,Shirvan,0
55,180070742709301,2025-03-11 00:17:25,1440.1,Uber,atm,Shirvan,0
56,36081160501902,2025-02-22 11:49:06,662.59,Uber,pos,Sheki,0
57,4329431675625662,2025-01-29 17:49:11,4144.68,Amazon,online,Shirvan,1
58,30285232756677,2025-03-17 15:22:16,962.36,Uber,online,Ganja,0
59,3537390603125023,2025-02-15 06:09:27,1116.27,AliExpress,pos,Shirvan,0
60,3591845670886974,2025-04-06 04:30:25,4372.81,Amazon,pos,Shirvan,0
61,4354000250402163966,2025-04-19 07:23:22,2091.71,Walmart,atm,Baku,0
62,4359191558754,2025-02-19 14:42:56,829.21,Amazon,pos,Ganja,0
63,676103513856,2025-02-06 11:08:30,2232.38,AliExpress,atm,Shirvan,0
64,4448647530481,2025-01-15 01:07:05,3777.67,Amazon,pos,Sumqayit,0
65,675977067775,2025-01-23 22:29:45,1560.98,AliExpress,online,Sheki,0
66,5331263791686028,2025-02-18 11:49:03,940.82,Walmart,online,Ganja,0
67,30324556184982,2025-06-03 05:10:56,4934.12,AliExpress,atm,Sheki,0
68,4789784430195,2025-06-02 03:20:41,1581.57,McDonalds,online,Baku,0
69,3526334088601648,2025-01-23 23:03:30,4901.24,Walmart,atm,Shirvan,1
70,3538433184535746,2025-04-24 00:35:53,489.82,Amazon,atm,Ganja,0
71,4088559026228124,2025-05-29 13:20:51,4368.4,Uber,atm,Ganja,0
72,4933236599278,2025-01-21 23:22:52,501.8,AliExpress,atm,Baku,0
73,3589577403827785,2025-03-02 23:05:00,110.21,AliExpress,online,Sumqayit,0
74,3542963546030535,2025-03-08 15:15:59,667.97,Starbucks,atm,Sumqayit,0
75,30345240598022,2025-03-10 15:03:16,576.43,McDonalds,pos,Baku,0
76,675900300350,2025-01-13 22:07:21,212.45,McDonalds,atm,Sumqayit,0
77,586237625429,2025-05-07 00:54:43,2792.22,Uber,atm,Baku,0
78,376064887091660,2025-02-03 06:23:19,4231.95,Walmart,atm,Sheki,0
79,676129821531,2025-06-13 03:19:12,3562.08,AliExpress,atm,Sheki,0
80,4028216919729907,2025-02-19 00:36:32,1862.87,Starbucks,online,Ganja,0
81,370071542738524,2025-05-23 19:40:37,1878.52,Uber,online,Ganja,0
82,6547604848708984,2025-02-20 23:05:23,755.96,Uber,pos,Sumqayit,0
83,4761657004049431,2025-05-29 01:57:39,3592.78,Uber,atm,Baku,0
84,180064319539852,2025-02-01 13:32:33,206.97,McDonalds,online,Shirvan,0
85,4090925544576961,2025-02-03 00:25:21,1448.36,AliExpress,atm,Ganja,0
86,639029072506,2025-05-21 03:00:54,1467.74,AliExpress,atm,Ganja,0
87,30493186428216,2025-05-08 22:31:05,4668.84,Uber,online,Shirvan,0
88,4918896644406443,2025-04-15 10:39:28,3643.58,Uber,pos,Sumqayit,0
89,180053620829656,2025-04-01 03:00:18,1496.83,Amazon,online,Shirvan,0
90,676169305825,2025-05-13 02:13:54,4543.38,AliExpress,pos,Sumqayit,0
91,4703934261970,2025-02-15 23:15:30,622.5,Amazon,atm,Sheki,0
92,3581327166446599,2025-03-05 15:28:54,2133.25,Uber,pos,Ganja,0
93,2260704366660973,2025-03-10 20:28:36,4598.52,Walmart,atm,Sheki,0
94,3594506782019550,2025-01-01 20:56:23,4030.79,Walmart,online,Baku,1
95,2231870505624620,2025-04-26 15:59:29,4039.06,McDonalds,atm,Ganja,0
96,4480222708086252,2025-06-05 08:57:11,306.72,Amazon,online,Sheki,0
97,3518243454487278,2025-04-18 07:53:31,2782.82,Uber,pos,Sheki,0
98,4928051379378254,2025-05-08 05:29:14,3941.66,Walmart,atm,Ganja,0
99,4808185011695975,2025-03-07 04:58:33,2115.77,Uber,online,Sumqayit,0
100,6512502205930608,2025-05-16 16:50:22,2926.55,McDonalds,pos,Ganja,0
101,4092516075994497628,2025-01-06 23:01:08,1793.24,Amazon,atm,Baku,0
102,30436151105020,2025-03-20 09:40:24,4515.15,AliExpress,atm,Ganja,0
103,3557877108640816,2025-06-12 10:50:16,595.43,AliExpress,pos,Ganja,0
